<h2>Plants Toxic to Cats</h2>
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cuckoo-pint">,Cuckoo-pint,Arum maculatum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cutleaf-philodendron">,Cutleaf Philodendron,Monstera deliciosa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cycads">,Cycads,Cycas and Zamia species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/cyclamen">,Cyclamen,Cyclamen spp
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/daffodil">,Daffodil,Narcissus spp
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dahlia">,Dahlia,Dahlia species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/daisy">,Daisy,Chrysanthemum species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/day-lilies-many-varieties">,Day Lilies (many varieties),Hemerocallis spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/deadly-nightshade">,Deadly Nightshade,Solanum spp
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/desert-azalea">,Desert Azalea,Adenium obesum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/desert-rose">,Desert Rose,Adenium obesum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/devils-backbone">,Devil's Backbone,Kalanchoe tubiflora
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/devils-ivy">,Devils Ivy,Epipremnum aureum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dieffenbachia">,Dieffenbachia,Dieffenbachia
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dock">,Dock,Rumex sp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dog-daisy">,Dog Daisy,Achillea millefolium
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dog-hobble">,Dog Hobble,Leucothoe sp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dogbane-hemp">,Dogbane Hemp,Apocynum spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dracaena">,Dracaena,Dracaena spp.
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dumbcane">,Dumbcane,Dieffenbachia
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/dwarf-poinciana">,Dwarf Poinciana,Caesalpinia pulcherrima
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-lily">,Easter Lily,Lilium longiflorum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/easter-rose">,Easter Rose,Helleborus niger
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/eastern-star">,Eastern Star,Dianthus spp.
